ade4 1.4-3
adimpro 0.4.2
adlift 0.9-2
adlift 1.0-2
affxparser 1.16.0
AlgDesign 1.1
AnalyzeFMRI 1.1-10
ape 1.9-4
ape 2.1
ape 2.3
ape 2.4
ape 2.5.2
aroma.apd 0.1.7
aroma.core 1.6.0
aroma.core 1.7.0
aroma.light 1.16.0
arules 0.6-6
arules 1.0-1
ascii 0.6-1
BayesX 0.2-4
bigmemory 4.0.0
Biobase 1.14.1
Biobase 2.4
Biobase 2.5.5
biomaRt 1.12.1
bit 1.1-1
ca 0.2-1
car 1.2-15
car 2.0-0
car 2.0-1
car 2.0-2
CircStats 0.2-4
cluster 1.11.7
cmrutils 1.1-1
CoCo 0.1.7-6
coda 0.10-3
coda 0.11-0
coda 0.11-3
coda 0.13
coin 0.6-4
corpcor 1.5.2
corpcor 1.5.3
corpcor 1.5.7
DBI 0.1-10
DBI 0.1-11
DBI 0.1-4
DBI 0.2-2
DBI 0.2-5
degreenet 1.0
deldir 0.0-10
denpro 0.9
DEoptim 2.0-4
digest 0.4.2
distr 1.9
distr 2.0
distr 2.2.0
distrEx 1.9
distrEx 2.0
distrEx 2.2.0
distrMod 2.0
distrMod 2.0.1
distrMod 2.2.0
distrSim 2.2.0
distrTeach 2.2.0
distrTEst 2.2.0
DoE.base 0.11
DoE.base 0.12
DoE.wrapper 0.8
dse 6.1-1
dse 7.10-1
dynamicGraph 0.2.0
dynamicTreeCut 1.20
EbayesThresh 1.3.0
entropy 1.1.3
ergm 2.2-1
EvalEst 6.1-1
exactRankTests 0.8-0
fAssets 0.78
fBasics 0.78
fCopulae 0.77
fdrtool 1.2.4
fdrtool 1.2.5
ff 2.0.0
fields 2.3
fields 4.1
fields 6.0.1
filehash 1.0
flexclust 1.0-0
fmri 1.3
foreach 1.2.0
foreach 1.3.0
forecast 1.0
foreign 0.8
Formula 0.2-0
FrF2 1.1-1
FrF2 1.1-4
gam 1.0.1
gamlss.dist 4.0-0
gbm 1.5-3
geepack 1.0-12
geoR 1.6-25
geoR 1.6-27
getopt 1.15
ggplot2 0.8
ggplot2 0.8.2
ggplot2 0.8.3
ggplot2 0.8.8
gnm 1.0-0
GO.db 2.2.0
GPArotation 6.9-1
gpclib 1.4
grid 2.1.1
gstat 0.9-36
gstat 0.9-58
gWidgets 0.0-31
gWidgets 0.0-36
gWidgets 0.0.39
gWidgets 0.0.41
gWidgetsRGtk2 0.0-31
gWidgetsRGtk2 0.0-36
gWidgetsRGtk2 0.0-45
gWidgetsRGtk2 0.0-53
HaploSim 1.8.4
heplots 0.8-6
HH 2.1-27
HH 2.1-28
highlight 0.1-3
Hmisc 3.6-0
Hmisc 3.7
ifultools 1.0-3
igraph 0.5.2
iplots 1.1
ismev 1.33
iterators 1.0.0
JavaGD 0.5
JavaGD 0.5-2
JGR 1.7
keggorthology 2.0
KEGGSOAP 1.12.0
kernlab 0.9
ks 1.6.3
latentnet 2.2-3
lattice 0.12-3
lattice 0.16
lattice 0.16-3
lattice 0.18-8
latticeExtra 0.5-4
limma 2.9.15
lme4 0.999375-19
lme4 0.999375-25
lme4 0.999375-28
lme4 0.999375-31
lme4 0.999375-32
lmtest 0.9-24
lmtest 0.9-26
locfit 1.5-4
logging 0.4
longitudinal 1.1.3
longitudinal 1.1.5
lpSolveAPI 5.5.0-14
magic 1.4-6
maps 2.0-7
maptools 0.5-4
maptools 0.7-32
MASS 7.1-8
MASS 7.2-1
MASS 7.3-3
Matching 4.6-2
Matrix 0.9975-8
Matrix 0.999375-10
Matrix 0.999375-22
Matrix 0.999375-31
Matrix 0.999375-33
Matrix 0.999375-43
Matrix 0.999375-9
matrixStats 0.2.1
maxLik 0.7-3
mboost 2.0.0
mclust 3.2
