#SEED  PKGS  REQS  VERSpPKG  DEPSpVER  TIME
2      2138  88    8.66698   0.530707  3.819918155670166
3      2138  99    8.62722   0.542586  4.095484972000122
7      2138  117   8.74556   0.517916  3.7536840438842773
8      2138  104   8.56127   0.516663  3.6480050086975098
9      2138  108   8.71796   0.528515  3.8951590061187744
11     2138  115   8.70814   0.541841  3.964416980743408
13     2138  101   8.65201   0.54714   4.240588188171387
14     2138  115   8.72077   0.482113  3.9491920471191406
15     2138  96    8.76941   0.531975  4.002752065658569
16     2138  103   8.7217    0.511235  3.8663170337677
17     2138  104   8.65762   0.519719  4.024541139602661
18     2138  94    8.67166   0.520065  3.8857569694519043
19     2138  114   8.60477   0.509974  3.933803081512451
20     2138  106   8.76941   0.520988  3.8666460514068604
21     2138  103   8.69411   0.503551  3.665177822113037
22     2138  110   8.79888   0.524399  3.9361369609832764
23     2138  118   8.75304   0.48771   4.040225028991699
26     2138  126   8.72123   0.542851  4.126544952392578
27     2138  121   8.68756   0.534726  4.157387018203735
29     2138  104   8.55192   0.527839  3.8019778728485107
30     2138  97    8.70627   0.563769  4.306382179260254
32     2138  104   8.75585   0.528152  4.012337923049927
33     2138  122   8.75398   0.554018  4.0146520137786865
34     2138  112   8.76894   0.510188  3.7599968910217285
35     2138  109   8.69036   0.506997  4.04419207572937
37     2138  117   8.72077   0.531885  3.9108269214630127
38     2138  112   8.71282   0.506818  3.821969985961914
39     2138  110   8.62675   0.512091  3.969858169555664
40     2138  105   8.65809   0.524121  4.187235116958618
42     2138  102   8.72638   0.528006  4.13430380821228
43     2138  112   8.71515   0.517362  3.911924123764038
44     2138  119   8.6174    0.51536   3.9355249404907227
45     2138  109   8.70674   0.543433  4.040209770202637
48     2138  99    8.72825   0.513317  3.869096040725708
50     2138  98    8.6492    0.499351  3.7089788913726807
51     2138  102   8.6927    0.539144  4.032239198684692
52     2138  96    8.71188   0.552346  4.1791770458221436
53     2138  99    8.76894   0.519042  4.099306106567383
54     2138  115   8.84705   0.49807   3.822226047515869
55     2138  123   8.65341   0.518026  4.029956817626953
56     2138  102   8.63658   0.520065  3.870898962020874
57     2138  110   8.62816   0.519597  3.8595869541168213
58     2138  120   8.69457   0.528807  3.78417706489563
60     2138  105   8.77502   0.51218   4.008952856063843
61     2138  111   8.68896   0.49895   3.775602102279663
62     2138  121   8.63751   0.50046   3.7829999923706055
63     2138  121   8.70767   0.544126  4.000916004180908
65     2138  108   8.63845   0.530186  3.8626999855041504
67     2138  95    8.65669   0.548628  4.06998610496521
69     2138  97    8.69364   0.507828  3.7131741046905518
70     2138  103   8.6927    0.51364   3.8427209854125977
72     2138  90    8.71001   0.519117  3.8079018592834473
75     2138  110   8.71282   0.534625  3.9513649940490723
76     2138  119   8.73386   0.537942  3.8905699253082275
77     2138  118   8.71796   0.487043  3.8635799884796143
78     2138  102   8.72357   0.508605  3.8232579231262207
79     2138  108   8.65856   0.538678  3.8550310134887695
80     2138  106   8.7217    0.521585  3.812345027923584
81     2138  89    8.71749   0.519584  3.7232918739318848
82     2138  112   8.69457   0.514336  3.751016139984131
84     2138  111   8.74041   0.535131  3.999891996383667
85     2138  119   8.68849   0.531385  4.057346820831299
86     2138  91    8.76099   0.524798  3.8081471920013428
87     2138  115   8.66745   0.4806    3.8392229080200195
88     2138  107   8.57484   0.529046  3.7692909240722656
89     2138  113   8.66932   0.541138  3.958609104156494
90     2138  106   8.66978   0.541487  3.9971251487731934
91     2138  98    8.67399   0.498949  3.857558012008667
92     2138  90    8.7507    0.50628   3.827003002166748
93     2138  113   8.68241   0.524323  3.806149959564209
96     2138  108   8.79841   0.504811  3.73307204246521
98     2138  98    8.66417   0.524509  4.102747917175293
99     2138  110   8.70627   0.49726   3.8393239974975586
100    2138  118   8.58513   0.517407  3.955476999282837
